Date,Open,High,Low,Close,Adj Close,Volume
2018-01-04,48.2897,48.7797,48.2239,48.4936,48.4936,3868218
2018-01-05,48.9704,49.5196,48.6514,49.4406,49.4406,4261395
2018-01-08,49.3814,49.7991,49.1973,49.6873,49.6873,3300129
2018-01-09,49.9536,50.4206,49.8046,50.0391,50.0391,3892785
2018-01-10,49.559,49.9668,49.1578,49.8056,49.8056,5394075
2018-01-11,50.1542,50.8546,50.0227,50.8349,50.8349,4733442
2018-01-12,51.0454,51.9562,50.9697,51.8379,51.8379,5586066
2018-01-16,52.6764,53.0644,50.8974,51.2986,51.2986,8536953
2018-01-17,51.897,53.0217,51.4465,52.7717,52.7717,6440007
2018-01-18,52.6961,52.9529,52.1897,52.5317,52.5317,4315047
2018-01-19,52.8507,53.1959,52.4955,53.1762,53.1762,6774909
2018-01-22,53.0381,54.4916,53.0315,54.4817,54.4817,4672992
2018-01-23,54.5343,55.0275,54.314,54.8632,54.8632,6128442
2018-01-24,55.261,55.6556,53.9917,54.7612,54.7612,7908051
2018-01-25,55.3334,55.3893,54.3173,54.8336,54.8336,5511672
2018-01-26,55.3893,56.7079,55.1887,56.7046,56.7046,6879879
2018-01-29,56.3331,56.6093,55.4748,55.5438,55.5438,6244086
2018-01-30,54.2943,54.7448,53.5312,53.8174,53.8174,8032503
2018-01-31,54.4028,54.7316,53.2321,54.4817,54.4817,6603726
2018-02-01,53.39,54.5727,53.2288,53.7188,53.7188,5818371
2018-02-02,52.8013,52.9362,50.197,50.2463,50.2463,10540422
2018-02-05,49.0296,50.4041,43.5347,44.0674,44.0674,19445130
2018-02-06,41.7853,46.7738,41.2723,46.6126,46.6126,13841406
2018-02-07,46.1391,48.1664,45.7116,45.7313,45.7313,10406775
2018-02-08,45.9056,45.9911,40.5851,40.6377,40.6377,14009184
2018-02-09,42.1043,43.3637,38.349,42.5219,42.5219,20016540
2018-02-12,43.5347,45.0572,42.5679,44.1891,44.1891,11858475
2018-02-13,43.5314,44.883,43.2434,44.5771,44.5771,6528780
2018-02-14,43.8044,46.5797,43.7518,46.4088,46.4088,9864582
2018-02-15,47.3525,48.1154,45.9287,48.1056,48.1056,8042220
2018-02-16,47.7504,49.3387,47.7175,48.1417,48.1417,7666935
2018-02-20,47.5827,48.464,46.7804,47.2933,47.2933,6822885
2018-02-21,47.5136,48.9737,46.5074,46.537,46.537,7148763
2018-02-22,47.0862,48.0694,46.3167,46.7277,46.7277,6901656
2018-02-23,47.4314,48.954,47.1552,48.954,48.954,5743269
2018-02-26,49.5919,50.6836,49.2433,50.654,50.654,5719824
2018-02-27,50.7658,51.1871,48.6975,48.6975,48.6975,9562464
2018-02-28,49.3847,49.6581,47.0599,47.1092,47.1092,7773321
2018-03-01,47.1486,48.0197,44.2651,45.1921,45.1921,10593498
2018-03-02,44.1102,46.1701,43.6893,45.8892,45.8892,9051915
2018-03-05,45.1526,47.78,45.1033,47.438,47.438,7695924
2018-03-06,48.0003,48.0464,46.9068,47.8129,47.8129,6266961
2018-03-07,46.4811,47.9378,46.3923,47.7603,47.7603,6500451
2018-03-08,48.1615,48.4689,47.5301,48.3982,48.3982,6303528
2018-03-09,49.2598,50.9171,49.0661,50.9171,50.9171,6316428
